"Country or Area","Year","Value"
"Bulgaria","2008","3923.8253242904"
"Bulgaria","2007","3682.93123974804"
"Bulgaria","2006","3650.46887568682"
"Bulgaria","2005","4127.72126333584"
"Bulgaria","2004","4289.03995390575"
"Bulgaria","2003","3697.67323117383"
"Bulgaria","2002","3880.95346233431"
"Bulgaria","2001","3963.97804373273"
"Bulgaria","2000","3876.41441892401"
"Bulgaria","1999","3790.76318405696"
"Bulgaria","1998","3633.80363779539"
"Bulgaria","1997","4459.90272442662"
"Bulgaria","1996","4693.06090095148"
"Bulgaria","1995","4817.9037493991"
"Bulgaria","1994","4947.53710427197"
"Bulgaria","1993","5031.62689723988"
"Bulgaria","1992","5559.8702202955"
"Bulgaria","1991","6658.98687239707"
"Bulgaria","1990","8590.12149772887"
"Canada","2020","32763.175276727"
"Canada","2019","31564.3776309548"
"Canada","2018","31442.685271575"
"Canada","2017","30135.5986290573"
"Canada","2016","30661.1465482255"
"Canada","2015","30129.2288697492"
"Canada","2014","28940.1707512118"
"Canada","2013","30108.7337052625"
"Canada","2012","28883.2564024767"
"Canada","2011","27793.8272595707"
"Canada","2010","27715.416568313"
"Canada","2009","28328.9244122332"
"Canada","2008","31241.1388091746"
"Canada","2007","30588.1216425218"
"Canada","2006","30111.9109653158"
"Canada","2005","31858.9872227357"
"Canada","2004","32761.0981861647"
"Canada","2003","31453.5442051344"
"Canada","2002","30367.4935315432"
"Canada","2001","30087.8167304729"
"Canada","2000","30162.5260382121"
"Canada","1999","30578.3921983162"
"Canada","1998","33022.6335091567"
"Canada","1997","36752.4346589002"
"Canada","1996","37740.1902807872"
"Canada","1995","35891.474424541"
"Canada","1994","35418.9648528245"
"Canada","1993","32731.1056815743"
"Canada","1992","32918.8224023966"
"Canada","1991","32093.9854874411"
"Canada","1990","33194.5145025841"
"Croatia","2020","1658.17075032032"
"Croatia","2019","1619.58356085221"
"Croatia","2018","1615.58231256761"
"Croatia","2017","1665.61749551779"
"Croatia","2016","1545.65480139775"
"Croatia","2015","1777.73443836166"
"Croatia","2014","1638.81299782497"
"Croatia","2013","1678.63344847328"
"Croatia","2012","2263.16492193305"
"Croatia","2011","2492.71377596416"
"Croatia","2010","2432.50693221729"
"Croatia","2009","2189.22166138474"
"Croatia","2008","2826.86867808583"
"Croatia","2007","2522.42517345443"
"Croatia","2006","2470.52603529784"
"Croatia","2005","2460.38221379311"
"Croatia","2004","2497.61780108508"
"Croatia","2003","2257.04947900247"
"Croatia","2002","2348.6479914142"
"Croatia","2001","2433.72983340889"
"Croatia","2000","2467.54405301014"
"Croatia","1999","2347.86007764488"
"Croatia","1998","2116.55290834016"
"Croatia","1997","2468.43363829559"
"Croatia","1996","2273.88199802632"
"Croatia","1995","2274.9593822783"
"Croatia","1994","2353.02755867532"
"Croatia","1993","2314.11716715203"
"Croatia","1992","2712.5094901018"
"Croatia","1991","2702.36962681828"
"Croatia","1990","2860.59758829838"
"Cyprus","2020","257.985746759426"
"Cyprus","2019","251.424627327451"
"Cyprus","2018","246.646750039681"
"Cyprus","2017","245.022795225937"
"Cyprus","2016","238.883107138162"
"Cyprus","2015","230.995072822671"
"Cyprus","2014","223.682013196854"
"Cyprus","2013","229.971936373168"
"Cyprus","2012","254.575780967294"
"Cyprus","2011","259.658769487632"
"Cyprus","2010","274.288859671424"
"Cyprus","2009","258.462421822792"
"Cyprus","2008","266.24577231829"
"Cyprus","2007","280.069009838001"
"Cyprus","2006","291.282231972007"
"Cyprus","2005","279.741263464514"
"Cyprus","2004","307.761887876187"
"Cyprus","2003","323.509170062506"
"Cyprus","2002","327.95848385166"
"Cyprus","2001","325.509345950807"
"Cyprus","2000","295.789031615219"
"Cyprus","1999","296.706903946723"
"Cyprus","1998","307.413151716035"
"Cyprus","1997","285.710679061354"
"Cyprus","1996","293.908833570818"
"Cyprus","1995","321.318969221693"
"Cyprus","1994","280.915048660003"
"Cyprus","1993","290.771594286367"
"Cyprus","1992","273.20585079601"
"Cyprus","1991","246.838670737348"
"Cyprus","1990","246.448650986416"
"Czechia","2020","5328.31882529066"
"Czechia","2019","5606.60931577567"
"Czechia","2018","5862.23448627683"
"Czechia","2017","6214.86993615648"
"Czechia","2016","6284.87111509644"
"Czechia","2015","6136.65752737401"
"Czechia","2014","5739.32548493555"
"Czechia","2013","5627.63302275466"
"Czechia","2012","5851.43513505915"
"Czechia","2011","5989.65687568496"
"Czechia","2010","5347.91633029573"
"Czechia","2009","5463.68455201733"
"Czechia","2008","6304.94713247444"
"Czechia","2007","6238.30714722565"
"Czechia","2006","6172.68345502628"
"Czechia","2005","6294.98436929008"
"Czechia","2004","6449.86954418776"
"Czechia","2003","5786.40404809445"
"Czechia","2002","6273.72372100159"
"Czechia","2001","6673.07468885221"
"Czechia","2000","6404.24522396681"
"Czechia","1999","5981.47595908206"
"Czechia","1998","6191.93857475484"
"Czechia","1997","6309.57297020567"
"Czechia","1996","6341.56091415554"
"Czechia","1995","6583.1933728979"
"Czechia","1994","6288.72540647698"
"Czechia","1993","6396.34226020567"
"Czechia","1992","7127.31848570394"
"Czechia","1991","7949.05582545179"
"Czechia","1990","9287.95119618261"
"Denmark","2020","5815.96320326718"
"Denmark","2019","5857.93157843904"
"Denmark","2018","5665.2453110207"
"Denmark","2017","5921.69641253639"
"Denmark","2016","5846.64144778718"
"Denmark","2015","5731.80122129712"
"Denmark","2014","5713.07496592712"
"Denmark","2013","5592.44113143985"
"Denmark","2012","5594.05945076823"
"Denmark","2011","5692.92475585787"
"Denmark","2010","5684.31788291477"
"Denmark","2009","5795.5319516297"
"Denmark","2008","6023.99791638676"
"Denmark","2007","6001.68655692588"
"Denmark","2006","5852.09524083456"
"Denmark","2005","5987.21756815094"
"Denmark","2004","6610.3575006324"
"Denmark","2003","6920.05661318356"
"Denmark","2002","7054.71896189777"
"Denmark","2001","7164.45684700857"
"Denmark","2000","7377.72292238498"
"Denmark","1999","7443.90919349453"
"Denmark","1998","7438.73494525596"
"Denmark","1997","7442.25869654729"
"Denmark","1996","7380.51473861194"
"Denmark","1995","7760.52565934073"
"Denmark","1994","7813.51114724666"
"Denmark","1993","7870.08246316296"
"Denmark","1992","8110.99963077065"
"Denmark","1991","8388.79345652062"
"Denmark","1990","8554.67490087107"
"Estonia","2020","929.680699179919"
"Estonia","2019","928.457143356687"
"Estonia","2018","862.503236884498"
"Estonia","2017","873.329240538234"
"Estonia","2016","841.060001164825"
"Estonia","2015","868.218063602909"
"Estonia","2014","832.869089113663"
"Estonia","2013","805.93299822804"
"Estonia","2012","807.827437008652"
"Estonia","2011","756.03938461501"
"Estonia","2010","746.474642756727"
"Estonia","2009","725.470857656894"
"Estonia","2008","775.91698002441"
"Estonia","2007","719.966772821178"
"Estonia","2006","660.986515438398"
"Estonia","2005","672.164647284417"
"Estonia","2004","659.042801562248"
"Estonia","2003","625.120264154635"
"Estonia","2002","586.337287458523"
"Estonia","2001","614.730146716814"
"Estonia","2000","637.472162340364"
"Estonia","1999","604.757852368518"
"Estonia","1998","691.649062607062"
"Estonia","1997","667.794941440426"
"Estonia","1996","656.801640573448"
"Estonia","1995","698.207470529116"
"Estonia","1994","775.769938751167"
"Estonia","1993","851.841826383319"
"Estonia","1992","1089.52871576444"
"Estonia","1991","1310.21532872537"
"Estonia","1990","1340.44625339464"
"European Union","2020","226933.992957436"
"European Union","2019","229859.192748804"
"European Union","2018","233302.340017117"
"European Union","2017","236703.11417244"
"European Union","2016","232415.9117357"
"European Union","2015","232919.987801067"
"European Union","2014","233408.502294504"
"European Union","2013","230131.73436353"
"European Union","2012","229822.905533444"
"European Union","2011","231995.361214082"
"European Union","2010","237725.280452635"
"European Union","2009","247655.506097486"
"European Union","2008","262369.816811149"
"European Union","2007","274226.087964856"
"European Union","2006","272521.719243278"
"European Union","2005","283836.637560108"
"European Union","2004","290747.239973701"
"European Union","2003","286178.417461129"
"European Union","2002","289172.531997925"
"European Union","2001","300868.464717816"
"European Union","2000","302548.60134346"
"European Union","1999","305815.026050344"
"European Union","1998","327031.277470908"
"European Union","1997","349077.092803942"
"European Union","1996","352477.960829727"
"European Union","1995","346139.21314463"
"European Union","1994","344804.760292586"
"European Union","1993","340907.71975889"
"European Union","1992","350706.370559195"
"European Union","1991","365479.315814565"
"European Union","1990","383119.377938209"
"Finland","2020","4721.76830519247"
"Finland","2019","4828.58091148507"
"Finland","2018","4697.87319530165"
"Finland","2017","4730.62060686311"
"Finland","2016","4745.84889741899"
"Finland","2015","4752.51744600599"
"Finland","2014","4717.15081896094"
"Finland","2013","4660.99925435876"
"Finland","2012","4641.05756267337"
"Finland","2011","4651.43278544335"
"Finland","2010","4784.11601960754"
"Finland","2009","5190.59988056317"
"Finland","2008","6078.81409762179"
"Finland","2007","5920.16217828298"
"Finland","2006","5849.47451866991"
"Finland","2005","6035.06810158799"
"Finland","2004","5953.43101474458"
"Finland","2003","5863.05060220353"
"Finland","2002","5735.59037439443"
"Finland","2001","5699.35804137428"
"Finland","2000","5809.16188820152"
"Finland","1999","5731.78860359077"
"Finland","1998","5792.47293328081"
"Finland","1997","5971.1441807175"
"Finland","1996","5950.4275906161"
